RUELLE_ID,lat_S1,lat_S2,lat_S3,long_S1,long_S2,long_S3
RPP-J-1000001,-399133.89133861486,-399128.0907823944,-399140.5205457237,184108.42495029356,184104.69602130074,184113.81118107395
RPP-I-1000034,-399189.63910231856,-399125.2432912977,-399255.9745462003,184385.80339391725,184337.3125723678,184435.45799518435
RPP-I-1000077,-399389.42128710914,-399382.82653537835,-399396.4039654126,184374.5535233178,184383.8637610544,184366.4070653003
RPP-I-1000055,-398278.20562044077,-398211.87017655943,-398336.78253287554,184064.98811853246,184015.33351725474,184109.59967435623
RPP-I-1000010a,-398332.9032671511,-398272.38672185515,-398395.35944530927,183990.1182900507,183946.28258736784,184037.05740531202
RPP-H-1000032,-399814.2008838983,-399771.5289609335,-399850.66598170466,184061.10885280184,184029.2988738621,184089.42749258497
RPP-T-1000004,-399916.2255724425,-399882.0880340705,-399947.64762480784,183955.59282510233,183930.37759789833,183979.64427259713
RPP-I-1000102b,-399773.46859379474,-399762.6066497677,-399784.3305378236,183940.07576221245,183931.15345104344,183948.61014679898
RPP-I-1000102a,-399795.58040842315,-399782.7788315339,-399808.76991188416,183912.92090213997,183907.10200354864,183919.51565387004
RPP-I-1000087,-397650.79834084184,-397642.3382035251,-397657.5664506941,184767.30832687957,184761.17472733586,184772.38440927104
RPP-H-1000003a,-397259.78136928234,-397256.29156263964,-397263.6941827914,184646.43411497725,184651.08719050797,184641.78103945576
RPP-I-1000035,-399542.220665341,-399476.65460114443,-399601.86463341606,183536.88710600493,183489.08733017012,183581.3028269175
