"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3","lat_S4","lon_S4","lat_S5","lon_S5","lat_S6","lon_S6"
"81",17,"RPP-T-1000108",-73.5847526704884,45.5501190678499,-73.5842935827164,45.5499072027674,-73.5851757072157,45.5503187111507,NA,NA,NA,NA,NA,NA
"82",17,"RPP-L-1000037",-73.5875309750043,45.5494909653791,-73.5870884801915,45.5492957987664,-73.5878398536857,45.5496437331152,NA,NA,NA,NA,NA,NA
"83",18,"RPP-T-1000115",-73.5912786415163,45.5522045769643,-73.5903709792311,45.5517873824824,-73.5919827279272,45.552526814646,NA,NA,NA,NA,NA,NA
"84",18,"RPP-T-1000049",-73.5939670567333,45.5534578320617,-73.5935496099973,45.5532649495455,-73.5944103133194,45.5536599365458,NA,NA,NA,NA,NA,NA
"85",18,"RPP-T-1000028",-73.595343523375,45.5531407984382,-73.5945241815016,45.5527612737249,-73.5961211667456,45.5535013774962,NA,NA,NA,NA,NA,NA
"86",18,"RPP-T-1000024",-73.5990834621266,45.5502075501445,-73.5988782672164,45.5501214495889,-73.5992662022295,45.5502930161077,NA,NA,NA,NA,NA,NA
"87",19,"RPP-H-1000110",-73.5742047332213,45.5523313121929,-73.5747639532732,45.5524997433384,-73.5737275267852,45.5521868351597,NA,NA,NA,NA,NA,NA
"88",19,"RPP-H-1000058",-73.5736151103335,45.5535021132417,-73.5741032767426,45.5536565543551,-73.5730873336263,45.5533496296807,NA,NA,NA,NA,NA,NA
"89",19,"RPP-T-1000116",-73.5854363778987,45.555282057949,-73.5855453404211,45.5551278216123,-73.5853454439798,45.5554424038469,NA,NA,NA,NA,NA,NA
"90",19,"RPP-H-1000017",-73.5856404766352,45.5586863107269,-73.5849418621828,45.5584688174748,-73.5862609753177,45.5588691529037,NA,NA,NA,NA,NA,NA
"91",19,"RPP-H-1000106",-73.5911981461939,45.5578292145449,-73.590504821086,45.5576149974683,-73.5918547163164,45.5580242405825,NA,NA,NA,NA,NA,NA
