RUELLE_ID,PROPRIETAI,Length,L1,X_1,X_2,X_3,Y_1,Y_2,Y_3,geometry
PMR-I-1000019,Plateau - Mont-Royal,404.487279124849,24,-396792.2055410978,-396711.48729681666,-396791.7276397442,182449.43039021993,182388.5237427257,182443.54703911854,"c(-396872.469303702, -396871.285374333, -396870.101445013, -396853.853092307, -396800.434566737, -396747.105693525, -396711.39276087, -396712.506797661, -396713.620834507, -396736.934251789, -396792.888953382, -396842.597964752, -396872.469303702, 182504.421151253, 182505.988571744, 182507.555992294, 182495.48896684, 182455.725135286, 182414.931525416, 182388.45365297, 182386.983721954, 182385.513790982, 182402.085417165, 182444.425793815, 182482.421092411, 182504.421151253)"
PMR-I-1000025,Plateau - Mont-Royal,379.1130725097748,25,-396306.5052671323,-396231.46348928584,-396306.1647143221,182752.5326640811,182695.02567163535,182746.13551555417,"c(-396381.706994691, -396380.476396631, -396379.245798626, -396319.899387298, -396261.141213418, -396231.321082504, -396232.710378853, -396234.099675288, -396345.866920166, -396381.706994691, 182803.374347685, 182805.018179625, 182806.662011642, 182762.677622727, 182718.173076199, 182695.21387457, 182693.377798745, 182691.541723009, 182776.212429665, 182803.374347685)"
PMR-I-1000032,Plateau - Mont-Royal,427.2667604630477,26,-396648.9228275433,-396563.6147007407,-396648.21806243825,183009.76015736992,182945.47750865796,183003.6582575778,"c(-396733.465447653, -396732.180327164, -396730.895206745, -396671.854739271, -396619.995708314, -396563.579966406, -396564.827490432, -396566.075014531, -396608.894654409, -396679.563553053, -396733.465447653, 183068.021889072, 183069.714408222, 183071.406927459, 183027.164435198, 182987.805789769, 182945.451431708, 182943.795236113, 182942.139040586, 182974.049642075, 183027.259888918, 183068.021889072)"
PMR-I-1000050,Plateau - Mont-Royal,71.31114093908059,27,-396841.42877847527,-396829.6108256637,-396840.5057172032,183229.69064701058,183236.62768921972,183222.51662377585,"c(-396852.231072344, -396840.267174496, -396833.675768977, -396833.489571344, -396833.30337371, -396831.416958202, -396829.530542601, -396839.573060152, -396848.039124429, -396850.135082701, -396852.231072344, 183215.508250402, 183231.215723863, 183239.653991824, 183239.51642992, 183239.378868018, 183238.055092148, 183236.731316344, 183223.768716542, 183212.40301913, 183213.955623048, 183215.508250402)"
PMR-I-1000054,Plateau - Mont-Royal,71.54488759303182,28,-396736.68940372195,-396724.8679178192,-396735.5921477564,183151.03947961307,183157.93076937424,183143.78772026135,"c(-396747.504819545, -396738.276213884, -396729.047611651, -396728.325147322, -396727.60268299, -396727.235709308, -396726.868735629, -396725.813943001, -396724.759150345, -396743.353832556, -396745.429341183, -396747.504819545, 183136.793648139, 183148.949366331, 183161.105088899, 183160.556487484, 183160.007886088, 183159.729261495, 183159.450636913, 183158.649391989, 183157.848147084, 183133.713629315, 183135.253649865, 183136.793648139)"
PMR-I-1000072,Plateau - Mont-Royal,72.12056928866483,29,-397099.7618309357,-397087.98735703155,-397098.92796141916,183422.05283217345,183429.58234046603,183415.25093412225,"c(-397110.829304337, -397101.239677081, -397091.650053451, -397089.775618423, -397087.901183312, -397097.382885103, -397106.864590495, -397108.846947471, -397110.829304337, 183407.819172607, 183420.152202118, 183432.485236213, 183431.090228998, 183429.695221865, 183417.274871875, 183404.854526484, 183406.336849492, 183407.819172607)"
PMR-I-1000075,Plateau - Mont-Royal,107.9624042183252,30,-396183.44321694685,-396167.05135578476,-396183.10469198914,181829.70559786502,181848.4964234555,181826.79889037003,"c(-396199.496565289, -396184.055814429, -396168.615073371, -396167.815703665, -396167.016333946, -396182.490859688, -396197.965395284, -396198.730980294, -396199.496565289, 181808.00807376, 181828.877617047, 181849.747172973, 181849.145465807, 181848.543758634, 181827.628539146, 181806.713332355, 181807.360703048, 181808.00807376)"
PMR-J-1000012,Plateau - Mont-Royal,525.4692018033643,31,-396764.36846830323,-396742.48798308044,-396846.8458958636,183646.39726028172,183624.35662590724,183704.1487979686,"c(-396868.8653594, -396701.669684315, -396704.241307065, -396783.249627545, -396828.788516448, -396870.904277365, -396884.584019872, -396887.935907937, -396873.805250717, -396873.557337047, -396858.773437007, -396856.91058454, -396855.047731974, -396868.8653594, 183726.007356242, 183598.630708019, 183595.082601493, 183655.555608395, 183690.346301662, 183722.538272663, 183705.070256423, 183707.620857524, 183726.340886957, 183726.662772869, 183745.857889926, 183744.429688081, 183743.001486326, 183726.007356242
)"
PMR-L-1000001,Plateau - Mont-Royal,312.4617095423848,32,-396957.0368226427,-396899.4524906619,-396955.99718413723,182648.74150931864,182632.88515844315,182642.7168152638,"c(-397018.659796656, -397017.751776019, -397016.843755421, -397016.379774651, -397015.915793883, -396915.943969016, -396902.013291958, -396900.558260137, -396899.10322826, -396914.89554586, -396954.272855881, -397006.873005655, -397018.659796656, 182689.353225659, 182690.524394125, 182691.695562617, 182692.309546625, 182692.923530645, 182617.905961465, 182635.568387219, 182634.469593611, 182633.370800062, 182611.411932903, 182641.422323368, 182680.910435543, 182689.353225659)"
PMR-L-1000060,Plateau - Mont-Royal,162.9249315356463,33,-396609.8216095728,-396603.6396073378,-396608.95626947394,182225.88129709184,182197.36035103124,182222.0649576547,"c(-396641.677852611, -396640.769871751, -396639.861890917, -396592.497380366, -396604.984919674, -396605.175213404, -396605.365507142, -396606.647284391, -396607.929061596, -396596.259378527, -396641.677852611, 182246.320499893, 182247.515175957, 182248.709852066, 182212.716070232, 182195.5063017, 182195.649328323, 182195.792354935, 182196.75594766, 182197.719540417, 182212.653127752, 182246.320499893)"
PMR-L-1000063,Plateau - Mont-Royal,154.15085046465768,34,-396528.25502100016,-396544.77975152875,-396514.8669181325,182913.92695788157,182931.69315029262,182908.37128010186,"c(-396538.716385855, -396520.9930408, -396551.518882145, -396550.197999505, -396548.891517892, -396514.500077949, -396516.938260948, -396534.355147725, -396536.535790202, -396538.716385855, 182884.947335014, 182908.478769384, 182931.38031044, 182933.080803766, 182934.791797821, 182908.874238077, 182905.531355704, 182881.651869475, 182883.299619819, 182884.947335014)"
PMR-T-1000006,Plateau - Mont-Royal,295.4042752802533,35,-396734.42211871006,-396675.3089322486,-396733.2512759983,182481.1556749482,182436.8900537368,182475.3870570163,"c(-396792.595338681, -396791.411699014, -396790.228059406, -396746.885217329, -396699.496379425, -396675.208343149, -396676.465087577, -396677.721832064, -396724.787769014, -396751.885345958, -396792.595338681, 182519.344487562, 182521.082964506, 182522.821441523, 182490.577721341, 182454.751973437, 182436.815770808, 182435.154709522, 182433.493648291, 182469.096172072, 182489.237673597, 182519.344487562)"
PMR-T-1000014,Plateau - Mont-Royal,418.43544659835266,36,-397106.8050223841,-397078.65225685923,-397162.74063867005,183351.82890317158,183325.84828953113,183388.07408858492,"c(-397190.261859394, -397189.149189551, -397150.444301716, -397094.315871522, -397051.027244191, -397052.305949491, -397053.584654852, -397103.671723441, -397152.320181831, -397191.374529294, -397209.199067756, -397210.883036889, -397212.567005939, -397212.621847187, -397212.676688427, -397193.708213851, -397193.510288326, -397191.886073893, -397190.261859394, 183411.316720554, 183413.00806304, 183384.444227995, 183342.494704295, 183310.612819285, 183308.997618267, 183307.382417304, 183344.278703137, 
183380.231134733, 183409.625378151, 183386.533981988, 183387.803002999, 183389.072024076, 183389.113368721, 183389.154713381, 183413.491113635, 183413.754019882, 183412.53537019, 183411.316720554)"
PMR-T-1000017,Plateau - Mont-Royal,442.20718316625045,37,-397068.7683898312,-397065.7386393987,-397154.1916425345,182733.0375897456,182725.16850628838,182791.48380438457,"c(-397157.290342513, -397132.109323827, -397065.148519848, -397023.612118598, -397024.880698403, -397026.149278277, -397091.278809789, -397159.69339484, -397173.198821488, -397173.334087598, -397173.469353712, -397175.070149943, -397176.670946111, -397161.618426645, -397160.85828033, -397147.045093207, -397145.55129013, -397144.057486989, -397143.800976796, -397143.544466604, -397157.290342513, 182799.259928714, 182780.192921782, 182730.34271046, 182698.612658466, 182696.954782618, 182695.29690685, 
182744.439485103, 182795.597848861, 182777.559424624, 182777.660908291, 182777.76239196, 182778.963840875, 182780.165289848, 182799.815694476, 182800.808032812, 182820.028305482, 182818.897849669, 182817.767393917, 182817.576543025, 182817.38569214, 182799.259928714)"
PMR-T-1000041,Plateau - Mont-Royal,478.2593277501782,38,-396627.09700606903,-396532.65826710383,-396626.5798922805,183845.21893387995,183772.70956002493,183838.1865632617,"c(-396721.557452831, -396720.112411939, -396718.667371135, -396668.826226204, -396609.34186031, -396560.554849332, -396532.355248087, -396534.093473868, -396535.831699773, -396583.121818494, -396649.155234699, -396700.107515903, -396721.557452831, 183910.802005787, 183912.667148055, 183914.532290447, 183877.026530342, 183831.685287442, 183794.960225528, 183773.102995303, 183770.84610941, 183768.589223684, 183804.64096686, 183855.612630719, 183893.755363018, 183910.802005787)"
PMR-T-1000051,Plateau - Mont-Royal,527.4059395342289,39,-396688.86700798717,-396793.38539053063,-396735.0763098826,184598.48714780703,184678.86551589245,184639.25416843497,"c(-396630.281448102, -396615.346669512, -396613.751359852, -396612.156050127, -396628.076544178, -396629.895087162, -396631.713630057, -396633.089045517, -396792.183033906, -396816.059317315, -396814.940698046, -396813.822078826, -396773.714800948, -396710.04690392, -396630.281448102, 184559.237859514, 184578.189127778, 184576.985220551, 184575.7813134, 184554.93573777, 184556.340925383, 184557.746113095, 184555.606455123, 184677.913906342, 184696.81087821, 184698.259077394, 184699.707276637, 184669.16418429, 
184619.878931242, 184559.237859514)"
PMR-T-1000068,Plateau - Mont-Royal,64.78688859992002,40,-397028.8999149696,-397018.2532047479,-397028.19818978687,184552.68477790843,184559.82332968118,184547.03931305965,"c(-397038.873556901, -397023.119010696, -397021.519419868, -397019.809489784, -397018.231467281, -397035.652302194, -397037.262929583, -397038.873556901, 184539.923105799, 184560.081675184, 184562.256417335, 184561.005599577, 184559.851272624, 184537.457247673, 184538.690176704, 184539.923105799)"
